type;Name;album;year;mainInterpreter;coverURL;duration;songList;numberSongs;feat;songURL
song;One More Time;Discovery;2001;Daft Punk;src/main/resources/pics/Discovery.jpg;5:20;;;;
song;Aerodynamic;Discovery;2001;Daft Punk;src/main/resources/pics/Discovery.jpg;3:27;;;;
song;Digital Love;Discovery;2001;Daft Punk;src/main/resources/pics/Discovery.jpg;4:58;;;;
song;Harder, Better, Faster, Stronger;Discovery;2001;Daft Punk;src/main/resources/pics/Discovery.jpg;3:43;;;;
song;Rememeber the time;Dangerous;1991;Michael Jackson;src/main/resources/pics/Michael_Jackson_-_Remember_the_Time.png;4:56;;;
song;Macarena;2017;Damso;Mosaïque Solitaire;src/main/resources/pics/Damso.jpg;3:35;;;;
song;Shape of You;(Divide);2017;Ed Sheeran;src/main/resources/pics/Shape of you.jpg;3:53;;;;
song;Uptown Funk;Uptown Special;2014;Mark Ronson;src/main/resources/pics/Mark_Ronson_-_Uptown_Funk.png;4:30;;;;
song;Despacito;Vida;2017;Luis Fonsi;src/main/resources/pics/Despactio.jpg;3:48;;;;
song;Hello;25;2015;Adele;src/main/resources/pics/Hello-Adèle.jpg;4:55;;;;
song;Closer;Collage;2016;The Chainsmokers;https://example.com/closer.jpg;4:04;;;;
song;Someone Like You;21;2011;Adele;src/main/resources/pics/Some_One_Like_You.jpg;4:45;;;;
song;Blinding Lights;After Hours;2019;The Weekend;src/main/resources/pics/Blinding light.jpg;3:20;;;;
song;Thinking Out Loud;(Multiply);2014;src/main/resources/pics/Thinking Out Loud.jpeg;4:41;;;;
song;Waka Waka (This Time for Africa);Listen Up! The Official 2010 FIFA World Cup Album;2010;Shakira;src/main/resources/pics/Waka Waka.jpg;2:43;;;;
song;Can't Stop the Feeling!;Trolls (Original Motion Picture Soundtrack);2016;Justin Timberlake;src/main/resources/pics/Can't Stop The Feeling.jpg;4:19;;;;
song;Cheap Thrills;This Is Acting;2016;Sia;src/main/resources/pics/Thisisacting Sia.png;3:31;;;;
song;Sorry;Purpose;2015;Justin Bieber;src/main/resources/pics/Sorry Justin Bieber.jpg;3:20;;;;
song;Roar;Prism;2013;Katy Perry;src/main/resources/pics/katy-perry-video-for-ROAR.jpeg;3:42;;;;
song;Counting Stars;Native;2013;OneRepublic;src/main/resources/pics/OneRepublic_Counting_Stars_cover.png;4:17;;;;
song;All About That Bass;Title;2014;Meghan Trainor;src/main/resources/pics/Meghan_Trainor_-_All_About_That_Bass.png;3:10;;;;
song;Party Rock Anthem;Sorry for Party Rocking;2011;LMFAO;src/main/resources/pics/Party_Rock_Anthem.jpeg;4:23;;;;
song;Radioactive;Night Visions;2012;Imagine Dragons;src/main/resources/pics/Radioactive-ImagineDragon.jpg;3:07;;;;
song;Wake Me Up;True;2013;Avicii;src/main/resources/pics/Avicii_Wake_Me_Up_Official_Single_Cover.png;4:09;;;;
song;We Found Love;Talk That Talk;2011;Rihanna;src/main/resources/pics/WeFoundlove-Rihanna.jpg;3:35;;;;
song;Happy;Despicable Me 2 (Original Motion Picture Soundtrack);2013;Pharrell Williams;src/main/resources/pics/Pharrell_Williams_-_Happy.jpg;3:52;;;;
song;Love Yourself;Purpose;2015;Justin Bieber;src/main/resources/pics/JustinBieberLoveYourself.png;3:53;;;;
song;Rolling in the Deep;21;2010;Adele;src/main/resources/pics/Rolling in the deep.jpg;3:48;;;;
song;Shape of My Heart;Ten Summoner's Tales;1993;Sting;src/main/resources/pics/Ten Summoner's Tales.jpg;4:38;;;;
song;Hallelujah;Various Positions;1984;Leonard Cohen;src/main/resources/pics/Leonard Cohen.jpg;4:36;;;;
song;Bohemian Rhapsody;A Night at the Opera;1975;Queen;src/main/resources/pics/Bohemian-Rhapsody.png;5:55;;;;
song;Hotel;Hotel California;1976;Eagles;src/main/resources/pics/California.jpg;6:30;;;;
